gene_symbol	GSM4037819_hair_cell_mean	GSM4037820_hair_cell_mean	cochlear_hair_cell_expression	hair_cell_sample_count	hair_cell_developmental_consistency
PLOD1	-0.472727132296733	-0.508556225319293	-0.490641678808013	2	0.9759639801221641
MFN2	-0.0096934661903568	-0.115178930378137	-0.0624361982842469	2	0.900713601100818
MIIP	-0.0287729419177386	-0.336845156607994	-0.1828090492628663	2	0.7395418855797156
TNFRSF8	-0.0376899729401075	-0.0260927465752742	-0.03189135975769085	2	0.9887611944269438
TNFRSF1B	-0.0998695173342069	-0.197156435765826	-0.14851297655001644	2	0.9152931482551844
VPS13D	0.0208851085731244	0.470007912176904	0.24544651037501422	2	0.6393881231651249
DHRS3	-0.434538547826543	-0.138657289845036	-0.2865979188357895	2	0.7700281854573163
RP11-474O21.5	-0.055645391981253	-0.0459171488716001	-0.05078127042642655	2	0.9907418952131637
C1orf158	1.900598121784	1.45607132370484	1.6783347227444199	2	0.8340286618008428
HNRNPCL1		-0.0249710046797668	-0.0249710046797668	1	1.0
HNRNPCL2		-0.0217539390442707	-0.0217539390442707	1	1.0
LRRC38	-0.472993787937864	-0.0962001781636745	-0.28459698305076925	2	0.7066834075233865
RP4-597A16.2	-0.353884496722253	-0.0259659467800192	-0.18992522175113608	2	0.7244208762466122
PDPN	-0.558658437155496	-0.602605657107854	-0.580632047131675	2	0.9721964260865724
PRDM2	0.0373863186697469	0.194252071679933	0.11581919517483995	2	0.8594165132769503
KAZN	-0.431080772132914	-0.264058132781139	-0.34756945245702653	2	0.876056377615831
TMEM51-AS1	-0.186707988823081	-0.0197742547841513	-0.10324112180361615	2	0.848687897196924
TMEM51	-0.418599801027837	-0.450938513606415	-0.434769157317126	2	0.9774606859830691
FHAD1	0.476443448381893	0.920016159102068	0.6982298037419805	2	0.738802893611465
RP3-467K16.2	-0.207736841015719	-0.104046346160005	-0.15589159358786198	2	0.9102939277083407
RP3-467K16.7		-0.0299322312953059	-0.0299322312953059	1	1.0
RP3-467K16.4	0.160844262271179	0.166967233655315	0.163905747963247	2	0.9947392893326192
EFHD2	-0.400259687684256	-0.261938791578041	-0.3310992396311485	2	0.8960852113892394
CTRC		-0.0358552740612936	-0.0358552740612936	1	1.0
CELA2A		-0.0277439232527555	-0.0277439232527555	1	1.0
CASP9	-0.0380291932999976	0.0396105296765984	0.0007906681883004009	2	0.9224216157839034
DNAJC16	0.00393306028540564	0.373226762937696	0.18857991161155083	2	0.6892983811651512
AGMAT	0.00238071530979255	-0.0784645300759182	-0.03804190738306283	2	0.9221175515066398
RP4-680D5.2	-0.0642748260797535	0.118087886017378	0.02690652996881225	2	0.8224154713451185
DDI2	0.385724605363087	0.333455684809792	0.3595901450864395	2	0.9615553843618277
RP4-680D5.9		-0.0129018188548398	-0.0129018188548398	1	1.0
PLEKHM2	0.320205275190831	-0.128002142557047	0.09610156631689198	2	0.5910895198754806
