gene_symbol	n_ensembl_ids	retained_gene_id	selection_reason	all_ensembl_ids
KIR2DS1	12	ENSG00000275421	MANE Select canonical	ENSG00000273517; ENSG00000273603; ENSG00000275306; ENSG00000275421; ENSG00000275921; ENSG00000276327; ENSG00000278120; ENSG00000278304; ENSG00000283937; ENSG00000284120; ENSG00000284150; ENSG00000284560
KIR2DS2	13	ENSG00000278300	MANE Select canonical	ENSG00000274438; ENSG00000274518; ENSG00000275253; ENSG00000275452; ENSG00000275735; ENSG00000275737; ENSG00000276139; ENSG00000276258; ENSG00000276425; ENSG00000277885; ENSG00000278152; ENSG00000278300; ENSG00000284033
KIR2DS3	6	ENSG00000277163	MANE Select canonical	ENSG00000275599; ENSG00000277163; ENSG00000277193; ENSG00000277657; ENSG00000278306; ENSG00000288487
KIR2DS4	33	ENSG00000274947	MANE Select canonical	ENSG00000221957; ENSG00000273526; ENSG00000273931; ENSG00000274324; ENSG00000274406; ENSG00000274533; ENSG00000274714; ENSG00000274807; ENSG00000274921; ENSG00000274947; ENSG00000274957; ENSG00000275351; ENSG00000275353; ENSG00000275731; ENSG00000275938; ENSG00000276154; ENSG00000276209; ENSG00000276254; ENSG00000276395; ENSG00000276465; ENSG00000276634; ENSG00000276885; ENSG00000277078; ENSG00000277345; ENSG00000283727; ENSG00000283779; ENSG00000283846; ENSG00000283870; ENSG00000283882; ENSG00000284244; ENSG00000284264; ENSG00000284307; ENSG00000284408
KIR2DS5	7	ENSG00000275047	MANE Select canonical	ENSG00000274243; ENSG00000274563; ENSG00000274739; ENSG00000275047; ENSG00000276676; ENSG00000277650; ENSG00000288206
KIR3DL1	32	ENSG00000167633	MANE Select canonical	ENSG00000167633; ENSG00000273518; ENSG00000273775; ENSG00000274036; ENSG00000274146; ENSG00000274920; ENSG00000274948; ENSG00000275288; ENSG00000275486; ENSG00000275545; ENSG00000275659; ENSG00000275717; ENSG00000275786; ENSG00000276329; ENSG00000276379; ENSG00000276423; ENSG00000276501; ENSG00000277175; ENSG00000277272; ENSG00000278079; ENSG00000278368; ENSG00000278427; ENSG00000278856; ENSG00000283729; ENSG00000283731; ENSG00000283827; ENSG00000283954; ENSG00000284093; ENSG00000284177; ENSG00000284342; ENSG00000284426; ENSG00000284589
KIR3DL2	37	ENSG00000240403	MANE Select canonical	ENSG00000240403; ENSG00000273735; ENSG00000273911; ENSG00000274722; ENSG00000275083; ENSG00000275262; ENSG00000275416; ENSG00000275511; ENSG00000275566; ENSG00000275626; ENSG00000275629; ENSG00000275838; ENSG00000276004; ENSG00000276357; ENSG00000276424; ENSG00000276739; ENSG00000276882; ENSG00000277181; ENSG00000277709; ENSG00000277982; ENSG00000278361; ENSG00000278403; ENSG00000278442; ENSG00000278474; ENSG00000278656; ENSG00000278707; ENSG00000278710; ENSG00000278726; ENSG00000278758; ENSG00000278809; ENSG00000278850; ENSG00000284192; ENSG00000284213; ENSG00000284295; ENSG00000284466; ENSG00000284528; ENSG00000288389
KIR3DL3	42	ENSG00000242019	MANE Select canonical	ENSG00000242019; ENSG00000273502; ENSG00000274254; ENSG00000274394; ENSG00000274480; ENSG00000274511; ENSG00000274556; ENSG00000274639; ENSG00000274696; ENSG00000274724; ENSG00000274763; ENSG00000274786; ENSG00000275062; ENSG00000275172; ENSG00000275433; ENSG00000275513; ENSG00000276084; ENSG00000276086; ENSG00000276196; ENSG00000276328; ENSG00000276433; ENSG00000276572; ENSG00000276806; ENSG00000276875; ENSG00000276930; ENSG00000277028; ENSG00000277392; ENSG00000277552; ENSG00000277596; ENSG00000277620; ENSG00000278490; ENSG00000278723; ENSG00000278729; ENSG00000283823; ENSG00000283875; ENSG00000283915; ENSG00000283966; ENSG00000284086; ENSG00000284104; ENSG00000284127; ENSG00000284371; ENSG00000284480
KIR3DS1	10	ENSG00000274283	gnomAD-recognized or lowest Ensembl ID	ENSG00000274283; ENSG00000274465; ENSG00000275037; ENSG00000275434; ENSG00000275608; ENSG00000276498; ENSG00000276534; ENSG00000283719; ENSG00000283889; ENSG00000284111
KLF13	2	ENSG00000169926	MANE Select canonical	ENSG00000169926; ENSG00000275746
KLHL33	2	ENSG00000185271	MANE Select canonical	ENSG00000185271; ENSG00000291793
KLLN	2	ENSG00000227268	MANE Select canonical	ENSG00000227268; ENSG00000283059
KPNA7	2	ENSG00000185467	MANE Select canonical	ENSG00000185467; ENSG00000284068
KRT12	2	ENSG00000187242	MANE Select canonical	ENSG00000187242; ENSG00000263243
KRT20	2	ENSG00000171431	MANE Select canonical	ENSG00000171431; ENSG00000263057
KRT23	2	ENSG00000108244	MANE Select canonical	ENSG00000108244; ENSG00000263309
KRT31	3	ENSG00000094796	MANE Select canonical	ENSG00000094796; ENSG00000262993; ENSG00000292029
KRT33A	3	ENSG00000006059	MANE Select canonical	ENSG00000006059; ENSG00000261986; ENSG00000292027
KRT33B	3	ENSG00000131738	MANE Select canonical	ENSG00000131738; ENSG00000263012; ENSG00000292028
KRT34	3	ENSG00000131737	MANE Select canonical	ENSG00000131737; ENSG00000262045; ENSG00000292033
KRT37	3	ENSG00000108417	MANE Select canonical	ENSG00000108417; ENSG00000263022; ENSG00000292032
KRT39	2	ENSG00000196859	MANE Select canonical	ENSG00000196859; ENSG00000262164
KRT40	2	ENSG00000204889	MANE Select canonical	ENSG00000204889; ENSG00000262845
